Date,HXZ_IA,HXZ_ROE
1976-07-30,0.008559,0.0072699999999999996
1976-08-31,-0.005939,-0.0001
1976-09-30,-0.014853,0.01064
1976-10-29,-0.010682,0.0032379999999999996
1976-11-30,-0.0037730000000000003,-0.006291
1976-12-31,0.017911999999999997,-0.010631999999999999
1977-01-31,0.010172,-0.021648
1977-02-28,0.000981,0.012378
1977-03-31,-0.002503,0.003138
1977-04-29,0.011605,0.0037459999999999998
1977-05-31,0.002215,0.017144
1977-06-30,-0.007125,0.023354
1977-07-29,0.010572999999999999,0.016654
1977-08-31,-0.008400999999999999,0.014258999999999999
1977-09-30,-0.000956,0.0143
1977-10-31,-0.006125,-0.010307
1977-11-30,0.012407999999999999,0.026069
1977-12-30,0.001312,0.013303
1978-01-31,0.009316,-0.018003
1978-02-28,0.013398,2.7000000000000002e-05
1978-03-31,0.024596,0.00185
1978-04-28,-0.0032979999999999997,0.056669
1978-05-31,0.008051,0.004779
1978-06-30,0.004821,0.013467
1978-07-31,0.003966,0.016325
1978-08-31,0.012008000000000001,0.020146999999999998
1978-09-29,0.0044729999999999995,-0.034045
1978-10-31,-0.00592,-0.022443
1978-11-30,-0.008764,0.0131
1978-12-29,-0.01784,0.019382999999999997
1979-01-31,0.021622,-0.007695
1979-02-28,-0.001882,-0.022881
1979-03-30,0.013585,0.027599
1979-04-30,0.010123,0.021582
1979-05-31,-0.000683,-0.008364
1979-06-29,-0.006418,-0.009831
1979-07-31,0.0074270000000000004,0.005097000000000001
1979-08-31,-0.003503,0.029615999999999996
1979-09-28,0.001081,0.0070350000000000005
1979-10-31,0.0007199999999999999,0.010303
1979-11-30,-0.023923,0.023423
1979-12-31,-0.010324999999999999,0.011576
1980-01-31,0.016011,0.016908
1980-02-29,0.017384,0.022085
1980-03-31,0.004902,-0.010561000000000001
1980-04-30,0.012920000000000001,0.001315
1980-05-30,-0.014097,-0.009435
1980-06-30,-0.008706,0.028361
1980-07-31,-0.020855000000000002,-0.00376
1980-08-29,0.005744,0.025483
1980-09-30,-0.00452,0.052169
1980-10-31,0.005304,0.041939000000000004
1980-11-28,-0.019984,0.090598
1980-12-31,0.009343,-0.012568999999999999
1981-01-30,0.024779,-0.049423
1981-02-27,0.018514,0.007890000000000001
1981-03-31,-0.018297,-0.014715
1981-04-30,0.024396,0.013111999999999999
1981-05-29,-0.004487,-0.00114
1981-06-30,0.026912,0.000205
1981-07-31,-0.020499999999999997,0.030619
1981-08-31,0.014743,0.006495
1981-09-30,0.031985,0.004439
1981-10-30,-0.010785,0.047505
1981-11-30,0.008791,0.008839
1981-12-31,0.018324,-0.004952
1982-01-29,0.018314,-0.015721
1982-02-26,0.046466,0.002615
1982-03-31,0.018161,-0.01719
1982-04-30,0.011525,0.019336
1982-05-28,-0.004876,-0.004631
1982-06-30,0.024051,-0.003276
1982-07-30,0.020325000000000003,0.026572
1982-08-31,-0.002313,-0.01113
1982-09-30,0.008538,0.033642
1982-10-29,-0.009356999999999999,-0.007816
1982-11-30,0.015536000000000001,0.03282
1982-12-31,0.006495999999999999,-0.006188
1983-01-31,-0.004426,-0.021129
1983-02-28,0.013038000000000001,0.030014
1983-03-31,0.029854,0.012390000000000002
1983-04-29,0.022900999999999998,0.005907
1983-05-31,-0.014146,-0.035946
1983-06-30,-0.011814,0.016003
1983-07-29,0.028943,0.012607
1983-08-31,0.013058,-0.006951000000000001
1983-09-30,0.014402,0.032159
1983-10-31,0.02752,0.014348000000000001
1983-11-30,0.010771,-0.001431
1983-12-30,0.013464,-0.015532999999999998
1984-01-31,0.024257,-0.037919999999999995
1984-02-29,0.008060000000000001,-0.0069099999999999995
1984-03-30,0.007414,-0.0070869999999999995
1984-04-30,0.01142,0.021299000000000002
1984-05-31,-0.014772,0.018012
1984-06-29,-0.022265999999999998,0.017316
1984-07-31,-0.011351,0.035596
1984-08-31,-0.0056830000000000006,0.009555000000000001
1984-09-28,0.026124,0.0026379999999999997
1984-10-31,-0.001127,0.02726
1984-11-30,0.022304,0.008216
1984-12-31,-0.007914,0.025341
1985-01-31,-0.035219,0.009783
1985-02-28,0.010867,0.014504999999999999
1985-03-29,0.032757,0.009243
1985-04-30,0.014228000000000001,0.0015160000000000002
1985-05-31,-0.011255,0.032418999999999996
1985-06-28,-0.00168,0.028242
1985-07-31,-0.0071979999999999995,-0.017557
1985-08-30,0.020215999999999998,0.004463
1985-09-30,0.019358,0.011425000000000001
1985-10-31,0.002678,0.022117
1985-11-29,-0.016755,0.017691
1985-12-31,-0.014609,0.016993
1986-01-31,-0.007178,0.016751000000000002
1986-02-28,-0.013841000000000001,0.022328
1986-03-31,0.012176,0.020064000000000002
1986-04-30,-0.015629999999999998,0.005822000000000001
1986-05-30,0.013290999999999999,0.033469
1986-06-30,0.017546,0.052758
1986-07-31,0.014432,0.031726000000000004
1986-08-29,0.030226000000000003,-0.027277
1986-09-30,0.032307,-0.039523
1986-10-31,0.005693,0.015025
1986-11-28,0.004319,0.011354
1986-12-31,0.010765,0.018931
1987-01-30,-0.012787999999999999,0.009741
1987-02-27,-0.019117,0.020925
1987-03-31,0.042175000000000004,-0.011238
1987-04-30,0.003757,-0.013784000000000001
1987-05-29,-0.0011740000000000001,-0.023342
1987-06-30,0.014191,0.014728000000000002
1987-07-31,0.001227,-0.018049
1987-08-31,-0.002366,0.037946
1987-09-30,0.019091,0.005816
1987-10-30,0.033938,0.0037280000000000004
1987-11-30,0.006012,-0.006670000000000001
1987-12-31,-0.024293,0.038909
1988-01-29,0.013210999999999999,-0.040709
1988-02-29,-0.006235000000000001,0.010355000000000001
1988-03-31,0.016766,-0.021546
1988-04-29,0.021332,0.0064800000000000005
1988-05-31,0.004673,-0.001703
1988-06-30,-0.032447,0.02229
1988-07-29,0.011087,-0.01135
1988-08-31,0.016730000000000002,-0.021560000000000003
1988-09-30,-0.0042970000000000005,0.021674000000000002
1988-10-31,0.0050149999999999995,0.000561
1988-11-30,0.013892999999999999,-0.0049180000000000005
1988-12-30,0.0045379999999999995,0.007816
1989-01-31,8.999999999999999e-05,-0.003512
1989-02-28,0.015601,-0.004588
1989-03-31,0.012673,-0.001456
1989-04-28,-0.002825,0.011658
1989-05-31,0.001034,0.011963999999999999
1989-06-30,0.015929,-0.0015129999999999998
1989-07-31,-0.00447,0.049084
1989-08-31,-0.004259,0.016536
1989-09-29,0.011971,0.01646
1989-10-31,0.012995000000000001,0.014074
1989-11-30,0.016351,0.002423
1989-12-29,0.015747,0.010672
1990-01-31,0.009256,0.000362
1990-02-28,-0.010927,-0.0039040000000000004
1990-03-30,-0.003663,0.022845
1990-04-30,-0.007923,0.019796
1990-05-31,-0.008603,0.037384
1990-06-29,0.002455,0.022265
1990-07-31,0.04012400000000001,0.025575
1990-08-31,0.037185,-0.00996
1990-09-28,0.026206,-0.004548
1990-10-31,0.002596,0.020782
1990-11-30,-0.039805,0.015192
1990-12-31,-0.019476,0.03854
1991-01-31,-0.039514999999999995,0.00159
1991-02-28,0.001447,-0.012401
1991-03-28,-0.009336,0.016839
1991-04-30,0.004658,0.013999
1991-05-31,-0.019548,-0.007096
1991-06-28,0.006121,0.013696
1991-07-31,-0.006421,0.030470999999999998
1991-08-30,-0.000358,0.011585000000000002
1991-09-30,-0.008244,-0.0036420000000000003
1991-10-31,0.013528,-0.00046100000000000004
1991-11-29,0.0030659999999999997,0.032841
1991-12-31,-0.020273,0.067588
1992-01-31,0.015031000000000001,-0.040660999999999996
1992-02-28,0.02259,0.007483
1992-03-31,0.020114,0.010075
1992-04-30,0.018032,-0.017012
