Date,BAB
1976-07-30,0.0186596702774
1976-08-31,0.0138344697852
1976-09-30,0.0172465923365
1976-10-29,0.0111743088635
1976-11-30,0.00449829480333
1976-12-31,0.0316607207043
1977-01-31,0.0407226532952
1977-02-28,0.0248888316407
1977-03-31,0.0122990494523
1977-04-29,0.0105566231493
1977-05-31,0.0103531825158
1977-06-30,-0.0022285670275
1977-07-29,0.0286028880144
1977-08-31,0.00343674649345
1977-09-30,0.00411782678065
1977-10-31,0.00183007815762
1977-11-30,0.00279532380516
1977-12-30,0.023692078431
1978-01-31,0.0023431743338
1978-02-28,0.0149064542368
1978-03-31,0.0163330547264
1978-04-28,0.0320638015699
1978-05-31,0.0221198082952
1978-06-30,0.0209944430257
1978-07-31,0.00373601098582
1978-08-31,0.0464945645161
1978-09-29,0.0238936313288
1978-10-31,-0.037531850773
1978-11-30,-0.0421394820677
1978-12-29,0.00219820754228
1979-01-31,0.0334040012563
1979-02-28,0.0103671752629
1979-03-30,-0.0135334244853
1979-04-30,0.0112893435179
1979-05-31,-0.00123253032135
1979-06-29,0.0164920122813
1979-07-31,0.0160037269939
1979-08-31,0.019564485303
1979-09-28,0.00393788958042
1979-10-31,-0.047025100113
1979-11-30,-0.0160030022312
1979-12-31,0.00835788153615
1980-01-31,0.026310745063865167
1980-02-29,-0.015324238489044443
1980-03-31,-0.04709093422482439
1980-04-30,0.0208813790434371
1980-05-30,0.03648337294703623
1980-06-30,0.03692803743748649
1980-07-31,-0.009418457690713616
1980-08-29,0.015236304479847185
1980-09-30,0.012859699483315683
1980-10-31,-0.002188795338234283
1980-11-28,-0.06256040360352605
1980-12-31,0.009158151480537158
1981-01-30,0.04713816409313644
1981-02-27,0.019599999364957026
1981-03-31,0.03667121501568371
1981-04-30,0.056691679047243634
1981-05-29,-0.003580777335480005
1981-06-30,0.054433898694709514
1981-07-31,-0.013369019484945502
1981-08-31,0.020031312098211795
1981-09-30,-0.01621666791849275
1981-10-30,-0.019378011256757782
1981-11-30,0.0436990303744408
1981-12-31,0.022087442012614457
1982-01-29,0.00023393023826671347
1982-02-26,0.030228170294255903
1982-03-31,0.016439101655076564
1982-04-30,0.02144158583410995
1982-05-28,0.02479976073697298
1982-06-30,-0.004936251451659115
1982-07-30,0.014893420004779938
1982-08-31,-0.022653223728055373
1982-09-30,0.07546412681468087
1982-10-29,0.02781351359235357
1982-11-30,0.06728884381596312
1982-12-31,0.030386581154194615
1983-01-31,0.026829320586353497
1983-02-28,0.08325791231526321
1983-03-31,0.06530886086107535
1983-04-29,0.04666846939611703
