Date,QMJ
1976-07-30,-0.00196914613278
1976-08-31,-0.00149046986984
1976-09-30,0.0081940406878
1976-10-29,-0.000884866917324
1976-11-30,-0.0200573857926
1976-12-31,-0.00886005828319
1977-01-31,-0.0262774001747
1977-02-28,0.0207489458587
1977-03-31,-0.00847717010887
1977-04-29,-0.0173460287334
1977-05-31,-0.00700317654675
1977-06-30,-0.00833277488788
1977-07-29,0.00918374926227
1977-08-31,0.0305399879699
1977-09-30,0.00350445105438
1977-10-31,0.0105124966937
1977-11-30,-0.00643568657434
1977-12-30,0.00370811575748
1978-01-31,-0.0108314031617
1978-02-28,-0.000427320601121
1978-03-31,-0.0143248009624
1978-04-28,0.0302931908542
1978-05-31,0.00529382059131
1978-06-30,-0.00319604498282
1978-07-31,0.0127042162027
1978-08-31,0.00638708108541
1978-09-29,-0.00977738798153
1978-10-31,0.0336036307206
1978-11-30,-0.00503136051389
1978-12-29,0.0238468890099
1979-01-31,-0.0269463012351
1979-02-28,-0.00888187668091
1979-03-30,-0.0172418737663
1979-04-30,0.00953893341865
1979-05-31,-0.0152825896643
1979-06-29,-0.0294318402684
1979-07-31,0.00573462707744
1979-08-31,0.00998002810188
1979-09-28,0.000547018727426
1979-10-31,0.0221343426643
1979-11-30,-0.022131084264
1979-12-31,-0.0125661449689
1980-01-31,-0.027369925789696367
1980-02-29,-0.019029343980972373
1980-03-31,0.04715098286596192
1980-04-30,-0.0341087861793044
1980-05-30,0.00682429824823054
1980-06-30,-0.011013442557353878
1980-07-31,0.035532074254069276
1980-08-29,-0.0011030459845699932
1980-09-30,0.012123293165406761
1980-10-31,0.0047815483314089385
1980-11-28,0.011321595396286327
1980-12-31,0.008483618022264236
1981-01-30,-0.0058662348137190805
1981-02-27,0.0146480745660947
1981-03-31,-0.010288542856141794
1981-04-30,0.013269785198118021
1981-05-29,-0.015320728889382892
1981-06-30,0.01023247253626456
1981-07-31,0.004795140854719375
1981-08-31,0.00530863910836378
1981-09-30,0.006825126029471587
1981-10-30,0.008665832749337684
1981-11-30,0.008709042467188436
1981-12-31,0.01819550249791359
1982-01-29,0.0012313665258337245
1982-02-26,0.0035862642179131897
1982-03-31,-0.006048856343463837
1982-04-30,0.01355140847035238
1982-05-28,0.017250853184405394
1982-06-30,0.006859805921206913
1982-07-30,0.015218308797021848
1982-08-31,-0.015571032821882956
1982-09-30,0.025898741922077313
1982-10-29,-0.016601807671735448
1982-11-30,0.017543682624021333
1982-12-31,0.008439147118520752
1983-01-31,-0.02216054157101756
1983-02-28,0.011519036465705868
1983-03-31,0.0102031820754727
1983-04-29,-0.0064649673758661475
1983-05-31,-0.021557456545860207
1983-06-30,0.02108615401613987
1983-07-29,0.0001979414238364222
1983-08-31,0.008597781513226536
1983-09-30,0.017207231411372956
1983-10-31,0.014260070934790342
1983-11-30,-0.001689319754574506
1983-12-30,0.018739595736268023
1984-01-31,-0.021822806709187313
