Date,BAB,CMA,HML,HML_Devil,HXZ_IA,HXZ_ROE,Intermediary,LIQ_PS,LTR,MktRf,QMJ,RF,RMW,SMB,STR,UMD,acc,cashdebt,convind,currat,depr,lev,pchcurrat,pchdepr,pchgm_pchsale,pchquick,pchsaleinv,pps,quick,salecash,saleinv,salerec
1976-07-30,0.0186596702774,0.003,0.0195212110840855,0.02299460443,0.008559,0.0072699999999999,-0.0314,-0.02705599,0.003,-0.0106,-0.00196914613278,0.0046999999999999,-0.0103,0.0026297525839259,0.0169,-0.0015,,0.0051790304089561,0.0059401098940434,0.0122937643194031,-0.0131922506122087,0.0192863741540073,-0.0074051207992673,0.0102091711022096,0.0015492535792777,-0.0056202194223642,0.0090635696854627,0.0232145703883074,-0.0134587354220124,-0.0020468538696959,0.0061553862126639,0.0122402336619241
1976-08-31,0.0138344697852,-0.0056999999999999,0.0054098898985016,0.0137588331256,-0.005939,-0.0001,-0.0509,0.01794591,0.0034999999999999,-0.0056999999999999,-0.00149046986984,0.0042,-0.004,-0.0217801230964574,-0.02,-0.0078,,0.018869147841501,0.0087893271952364,0.0189838003970792,-0.0402012982091763,-0.0020600408501512,-0.0049375094760749,0.0050123472544614,-0.0173605292350613,-0.0054044422266533,0.0014418836182458,-0.0097978387866652,-0.017192012712589,-0.0062858566287554,0.0114408861483923,0.0127147405191271
1976-09-30,0.0172465923365,-0.0113999999999999,-0.004026410050591,0.000902290686119,-0.014853,0.01064,-0.0356,-0.01542257,-0.0038,0.0204,0.0081940406878,0.0044,0.0098,-0.0008110345176161,-0.0028,0.002,,-0.0248891844714583,0.0039132823236668,0.006801152695075,0.0068343358433209,-0.0045319233016902,-0.0047083051088964,0.0085467193179409,0.0009886733061378,-0.0032978771232354,-0.0070221255074627,-0.0175972871279751,-0.0053833034601166,0.0151301138114781,0.0081297966966333,0.0026260474534106
1976-10-29,0.0111743088635,-0.0037,-0.0070545962871826,0.00292683601613,-0.010682,0.0032379999999999,0.0107,0.0038574,-0.017,-0.0242,-0.000884866917324,0.0040999999999999,-0.0019,0.0032602646717135,0.0116,-0.0043,,-0.0118569072552696,0.0074001566501572,0.0149910810653352,-0.0182858844502854,-0.0026162891417917,-0.0029181730052614,0.0060575157082217,-0.0101560302549531,-0.002978690528226,-0.0042171026284142,0.0030181246204337,-0.0177167766987161,-0.0068173287585401,0.0189765548696811,0.0218542965707073
1976-11-30,0.00449829480333,0.0007,0.0162598072368105,0.0136377852039,-0.003773,-0.006291,-0.0247,-0.02387473,0.0129,0.0037,-0.0200573857926,0.004,-0.0131,0.0226037619687669,0.0059,0.0282,,0.0173313183462374,0.0031342692219022,0.007365465900302,-0.0059613021663148,0.0206578885070174,-0.0001045344992941,0.015702257364609,-0.007857840769406,-0.0003286897602617,-0.003789469352054,0.0118567945573422,-0.0125068613463908,-0.0157275414382516,0.0214566684851227,0.021191575510942
1976-12-31,0.0316607207043,0.0241,0.0203620560087321,0.0354611835991,0.0179119999999999,-0.0106319999999999,0.0461,-0.01240966,0.0279,0.0565,-0.00886005828319,0.004,-0.0072,0.0280660817437641,0.0362,0.0073,,0.0019184711790618,-0.0108612592917312,0.000445480586693,0.0292704540055039,0.0277479475301423,-0.0008711770617071,0.0119248231331596,-0.0002608408942909,0.001317225100634,0.0022305658199641,0.0374618696446636,0.0023703338658608,0.0011875766908823,-0.0038803939536188,-0.018778382165918
1977-01-31,0.0407226532952,0.0192999999999999,0.0479957117069581,0.0514149228401,0.010172,-0.021648,-0.0596,-0.03064272,0.0086,-0.0404,-0.0262774001747,0.0036,-0.0054,0.0505048919103221,0.0055,0.0405,,0.0257407907698349,0.0012787297920459,0.0422735280834855,-0.0116730219087054,0.0522344952646958,0.002404671346805,0.0237827851559457,0.0160074588091796,0.0143288837408907,-0.008243632782446,0.037828548863524,-0.0279498940239146,0.0021488291543502,0.0306410681302779,-0.0103505094147978
1977-02-28,0.0248888316407,-0.0019,0.0051950369536528,0.00331470821632,0.000981,0.012378,-0.0444,-0.00984019,-0.0149,-0.0194,0.0207489458587,0.0034999999999999,-0.0021,0.0099102766861415,0.0134,0.0034,,0.003143053447814,0.013012003083818,-0.0132158097849075,0.0041263747695743,-0.0029848058966116,-0.0026137990752072,-0.0074747300571794,-0.0106555744419422,0.0010000189969448,0.0006357102465717,-0.0181589929280496,0.0100502087137561,-0.0051655753018914,-0.0034046035278776,-0.0003104403750602
1977-03-31,0.0122990494523,-0.0011,0.0112000824655519,0.00785442591718,-0.002503,0.003138,-0.0365,0.01079852,-0.0075,-0.0135,-0.00847717010887,0.0038,-0.0032,0.0095760105693431,0.0109,0.0068,,-0.0059717982886496,-0.0017728143739826,-0.0100518958404122,-0.0225049519123952,0.0028312478888011,-0.0087076230664411,-0.0030112873124054,0.0017720266336246,-0.0030107988142033,-0.0058091989458635,-0.0004380899698427,0.0100326309985868,0.0061111480403816,-0.0064684831840493,-0.0128910672532067
1977-04-29,0.0105566231493,0.0104,0.0357600691587108,0.0255633274035,0.011605,0.0037459999999999,-0.0174,-0.02492795,0.0021,0.0015,-0.0173460287334,0.0038,-0.0197999999999999,-0.0015924411649501,-0.0113,0.0419,,0.0047160808751535,-0.0078263974991808,0.0194760858131193,0.0028105415942387,0.0335994158712519,-0.0011182496934538,0.0116360534694714,-0.0053102445453323,-0.0032097011783109,-0.0006403897307306,0.006124074675554,-0.0213558607672944,-0.0099473382196463,0.0092436915502378,0.0023749212834603
