Date,MktRf,SMB,HML,RMW,CMA,RF,UMD,LTR,STR,LIQ_PS,HXZ_IA,HXZ_ROE,Intermediary,BAB,QMJ,HML_Devil
1976-07-30,-0.0106,0.0060999999999999,0.0174,-0.0103,0.003,0.0046999999999999,-0.0015,0.003,0.0169,-0.02705599,0.008559,0.0072699999999999,-0.0314,0.0186596702774,-0.00196914613278,0.02299460443
1976-08-31,-0.0056999999999999,-0.0202,0.0079,-0.004,-0.0056999999999999,0.0042,-0.0078,0.0034999999999999,-0.02,0.01794591,-0.005939,-0.0001,-0.0509,0.0138344697852,-0.00149046986984,0.0137588331256
1976-09-30,0.0204,0.002,-0.0031,0.0098,-0.0113999999999999,0.0044,0.002,-0.0038,-0.0028,-0.01542257,-0.014853,0.01064,-0.0356,0.0172465923365,0.0081940406878,0.000902290686119
1976-10-29,-0.0242,0.0005,-0.0017,-0.0019,-0.0037,0.0040999999999999,-0.0043,-0.017,0.0116,0.0038574,-0.010682,0.0032379999999999,0.0107,0.0111743088635,-0.000884866917324,0.00292683601613
1976-11-30,0.0037,0.027,0.0153,-0.0131,0.0007,0.004,0.0282,0.0129,0.0059,-0.02387473,-0.003773,-0.006291,-0.0247,0.00449829480333,-0.0200573857926,0.0136377852039
1976-12-31,0.0565,0.036,0.0223,-0.0072,0.0241,0.004,0.0073,0.0279,0.0362,-0.01240966,0.0179119999999999,-0.0106319999999999,0.0461,0.0316607207043,-0.00886005828319,0.0354611835991
1977-01-31,-0.0404,0.0591,0.0432,-0.0054,0.0192999999999999,0.0036,0.0405,0.0086,0.0055,-0.03064272,0.010172,-0.021648,-0.0596,0.0407226532952,-0.0262774001747,0.0514149228401
1977-02-28,-0.0194,0.0105,0.0045,-0.0021,-0.0019,0.0034999999999999,0.0034,-0.0149,0.0134,-0.00984019,0.000981,0.012378,-0.0444,0.0248888316407,0.0207489458587,0.00331470821632
1977-03-31,-0.0135,0.0129,0.0109,-0.0032,-0.0011,0.0038,0.0068,-0.0075,0.0109,0.01079852,-0.002503,0.003138,-0.0365,0.0122990494523,-0.00847717010887,0.00785442591718
1977-04-29,0.0015,0.006,0.0338,-0.0197999999999999,0.0104,0.0038,0.0419,0.0021,-0.0113,-0.02492795,0.011605,0.0037459999999999,-0.0174,0.0105566231493,-0.0173460287334,0.0255633274035
1977-05-31,-0.0147,0.0137,0.0081,0.0043,0.0022,0.0037,0.0200999999999999,0.0026,-0.0033,0.01811865,0.002215,0.017144,0.0882,0.0103531825158,-0.00700317654675,0.00845018503014
1977-06-30,0.0472,0.021,-0.0062,0.0091,-0.0127,0.004,0.016,0.0321,0.0014,0.02199312,-0.007125,0.023354,0.0165,-0.0022285670275,-0.00833277488788,-0.0181938452232
1977-07-29,-0.0169,0.0181,-0.006,0.0075,0.0012,0.0042,0.0038,0.0137,0.0103,0.00119646,0.0105729999999999,0.016654,-0.0003,0.0286028880144,0.00918374926227,0.0124965792651
1977-08-31,-0.0176,0.0093,-0.0277,0.0104,-0.0067,0.0044,-0.0163,0.0341,-0.0073,0.03132657,-0.0084009999999999,0.0142589999999999,-0.0199,0.00343674649345,0.0305399879699,-0.0315096993979
1977-09-30,-0.0027,0.0162,-0.0026,0.0092,-0.0065,0.0043,0.021,0.0042,0.0073,0.01051654,-0.000956,0.0143,-0.0682,0.00411782678065,0.00350445105438,-0.00243278442135
1977-10-31,-0.0438999999999999,0.0141,0.0162,-0.0009,-0.0046,0.0049,-0.0012,-0.0128,0.016,-0.01108198,-0.006125,-0.010307,-0.0762,0.00183007815762,0.0105124966937,0.0137345695841
